feature_1,feature_2,feature_3,target
0.12,0.45,0.78,1.35
0.23,0.56,0.89,1.68
0.34,0.67,0.91,1.92
0.45,0.78,0.12,1.35
0.56,0.89,0.23,1.68
0.67,0.91,0.34,1.92
0.78,0.12,0.45,1.35
0.89,0.23,0.56,1.68
0.91,0.34,0.67,1.92
0.11,0.45,0.78,1.34
0.22,0.56,0.89,1.67
0.33,0.67,0.91,1.91
0.44,0.78,0.12,1.34
0.55,0.89,0.23,1.67
0.66,0.91,0.34,1.91
0.77,0.12,0.45,1.34
0.88,0.23,0.56,1.67
0.99,0.34,0.67,2.00
0.15,0.48,0.81,1.44
0.26,0.59,0.92,1.77
0.37,0.70,0.13,1.20
0.48,0.81,0.24,1.53
0.59,0.92,0.35,1.86
0.70,0.13,0.46,1.29
0.81,0.24,0.57,1.62
0.92,0.35,0.68,1.95
0.13,0.46,0.79,1.38
0.24,0.57,0.90,1.71
0.35,0.68,0.11,1.14
0.46,0.79,0.22,1.47
0.57,0.90,0.33,1.80
0.68,0.11,0.44,1.23
0.79,0.22,0.55,1.56
0.90,0.33,0.66,1.89
0.14,0.47,0.80,1.41
0.25,0.58,0.91,1.74
0.36,0.69,0.12,1.17
0.47,0.80,0.23,1.50
0.58,0.91,0.34,1.83
0.69,0.12,0.45,1.26
0.80,0.23,0.56,1.59
0.91,0.34,0.67,1.92
0.16,0.49,0.82,1.47
0.27,0.60,0.93,1.80
0.38,0.71,0.14,1.23
0.49,0.82,0.25,1.56
0.60,0.93,0.36,1.89
0.71,0.14,0.47,1.32
0.82,0.25,0.58,1.65
0.93,0.36,0.69,1.98
